city,lat,lng,country,admin
Baiyin,36.5451,104.1389,China,admin
Guiping,23.4,110.0833,China,admin
Changshu,31.656,120.753,China,admin
Jixi,45.295,130.969,China,admin
Xushan,30.1667,121.2333,China,admin
Gwangju,35.1653,126.8486,"Korea, South",admin
Recife,-8.0539,-34.8808,Brazil,admin
Nasik,19.9975,73.7898,India,admin
Abu Dhabi,24.4667,54.3667,United Arab Emirates,admin
Amsterdam,52.3728,4.8936,Netherlands,admin
Vijayawada,16.5193,80.6305,India,admin
Zapopan,20.7167,-103.4,Mexico,admin
Daejeon,36.35,127.385,"Korea, South",admin
Auckland,-36.8492,174.7653,New Zealand,admin
Yekaterinburg,56.8356,60.6128,Russia,admin
Wuwei,37.929,102.638,China,admin
Jinhua,29.079,119.647,China,admin
Kyoto,35.0117,135.7683,Japan,admin
Pizhou,34.398,117.89,China,admin
Yangshe,31.8767,120.556,China,admin
Yucheng,30.01,103.0415,China,admin
Kayseri,38.7225,35.4875,Turkey,admin
Rui'an,27.7833,120.625,China,admin
Kharkiv,49.9925,36.2311,Ukraine,admin
Medina,24.47,39.61,Saudi Arabia,admin
Sangereng,-6.2889,106.7181,Indonesia,admin
Faridabad,28.4211,77.3078,India,admin
Sofia,42.6979,23.3217,Bulgaria,admin
Ulaanbaatar,47.9214,106.9055,Mongolia,admin
Adelaide,-34.9275,138.6,Australia,admin
Prague,50.0875,14.4214,Czechia,admin
Wenling,28.3667,121.3667,China,admin
Copenhagen,55.6805,12.5615,Denmark,admin
Najafgarh,28.6125,76.9847,India,admin
Lianjiang,21.7333,110.2833,China,admin
Helsinki,60.1708,24.9375,Finland,admin
Samsun,41.2903,36.3336,Turkey,admin
Milan,45.4669,9.19,Italy,admin
Antalya,36.8874,30.7075,Turkey,admin
Chizhou,30.6654,117.4916,China,admin
Makassar,-5.1331,119.4136,Indonesia,admin
Porto Alegre,-30.0328,-51.23,Brazil,admin
Huangshan,29.7149,118.3376,China,admin
Gaozhou,21.9244,110.8422,China,admin
